Date,Code,Name,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-01-02,TCL,Trans-Century Plc,0.29,0.72,0.51,0.54,0.52,0.52,,,1800.0,
2024-01-02,NSE,Nairobi Securities Exchange Plc,5.22,6.8,5.8,6.08,5.8,6.02,-0.22,3.65,8100.0,
2024-01-02,BOC,BOC Kenya Plc,67.0,96.0,82.0,82.0,82.0,82.0,,,100.0,
2024-01-02,BAT,British American Tobacco Kenya Plc,325.0,455.0,425.0,425.0,425.0,407.5,17.5,4.29,200.0,
2024-01-02,CARB,Carbacid Investments Plc,14.05,24.5,14.95,15.0,15.0,15.0,,,1400.0,
2024-01-02,EABL,East African Breweries Ltd,99.0,204.0,113.0,125.25,116.25,114.0,2.25,1.97,3000.0,
2024-01-02,FTGH,Flame Tree Group Holdings Ltd,0.91,1.39,1.14,1.14,1.14,1.04,0.1,9.62,200.0,
2024-01-02,ORCH,Kenya Orchards Ltd,19.0,77.0,19.5,19.5,19.5,19.5,,,,
2024-01-02,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,,,,
2024-01-02,UNGA,Unga Group Ltd,11.05,18.45,16.85,16.85,16.85,16.85,,,,
2024-01-02,SCOM,Safaricom Plc,12.15,21.15,13.65,13.95,13.75,13.9,-0.15,1.08,176500.0,
2024-01-02,LAPR,Laptrust Imara Income-REIT,20.0,20.0,20.0,20.0,20.0,20.0,,,,
2024-01-02,GLD,ABSA NewGold ETF,2625.0,3330.0,2915.0,2915.0,2915.0,2915.0,,,,
2024-01-02,^N10I,NSE 10-Share Index,874.34,1243.88,911.24,911.24,911.24,907.51,3.73,0.41,,
2024-01-02,^N20I,NSE 20-Share Index,1416.32,1942.74,1508.83,1508.83,1508.83,1501.16,7.67,0.51,,
2024-01-02,^N25I,NSE 25-Share Index,2281.58,3205.82,2387.3,2387.3,2387.3,2380.23,7.07,0.3,,
2024-01-02,^NASI,NSE All-Share Index,86.41,119.33,91.97,91.97,91.97,92.11,-0.14,0.15,,
2024-01-02,^ZKEQTK,Zamara Kenya Equity Index (KES),1497.8,2397.65,1577.9,1577.9,1577.9,1565.14,12.76,0.82,,
2024-01-02,^ZKEQTU,Zamara Kenya Equity Index (USD),818.46,1599.72,863.41,863.41,863.41,858.33,5.08,0.59,,
2024-01-03,EGAD,Eaagads Ltd,10.35,14.5,12.8,12.8,12.8,12.8,,,,
2024-01-03,KUKZ,Kakuzi Plc,342.0,440.0,385.0,385.0,385.0,385.0,,,,
2024-01-03,KAPC,Kapchorua Tea Kenya Plc,207.0,280.0,215.0,215.0,215.0,215.0,,,,
2024-01-03,LIMT,Limuru Tea Plc,365.0,380.0,380.0,380.0,380.0,380.0,,,,
2024-01-03,SASN,Sasini Plc,15.1,22.0,19.8,19.8,19.8,20.0,-0.2,1.0,100.0,
2024-01-03,WTK,Williamson Tea Kenya Plc,193.5,290.0,228.0,228.0,228.0,228.0,,,,
2024-01-03,CGEN,Car and General (K) Ltd,17.95,31.8,25.1,25.1,25.1,25.0,0.1,0.4,600.0,
2024-01-03,ABSA,ABSA Bank Kenya Plc,10.55,16.7,11.4,11.7,11.45,11.55,-0.1,0.87,92900.0,
2024-01-03,BKG,BK Group Plc,30.0,37.0,33.5,33.5,33.5,35.5,-2.0,5.63,900.0,
2024-01-03,COOP,Co-operative Bank of Kenya Ltd,10.1,15.2,11.15,11.4,11.2,11.35,-0.15,1.32,357500.0,
2024-01-03,DTK,Diamond Trust Bank Kenya Ltd,43.05,56.0,45.0,46.5,45.75,44.75,1.0,2.23,400.0,
2024-01-03,EQTY,Equity Group Holdings Plc,33.6,51.0,34.55,36.0,35.6,34.2,1.4,4.09,68800.0,
