Date,Code,Name,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-03-15,BAT,British American Tobacco Kenya Plc,325.0,455.0,411.0,418.0,413.75,413.5,0.25,0.06,4700.0,
2024-03-15,CARB,Carbacid Investments Plc,14.05,24.5,16.0,16.5,16.45,15.9,0.55,3.46,2600.0,
2024-03-15,EABL,East African Breweries Ltd,99.0,204.0,110.0,115.0,114.75,114.75,,,161200.0,
2024-03-15,FTGH,Flame Tree Group Holdings Ltd,0.91,1.39,1.15,1.15,1.15,1.15,,,,
2024-03-15,ORCH,Kenya Orchards Ltd,19.0,77.0,19.5,19.5,19.5,19.5,,,,
2024-03-15,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,,,,
2024-03-15,UNGA,Unga Group Ltd,11.05,18.45,15.1,15.1,15.1,15.1,,,,
2024-03-15,SCOM,Safaricom Plc,12.15,21.15,14.6,15.2,15.0,14.6,0.4,2.74,42418700.0,
2024-03-15,LAPR,Laptrust Imara Income-REIT,20.0,20.0,20.0,20.0,20.0,20.0,,,,
2024-03-15,GLD,ABSA NewGold ETF,2625.0,3330.0,2875.0,2875.0,2875.0,2875.0,,,,
2024-03-15,^N10I,NSE 10-Share Index,874.34,1243.88,1017.55,1017.55,1017.55,985.88,31.67,3.21,,
2024-03-15,^N20I,NSE 20-Share Index,1416.32,1942.74,1611.07,1611.07,1611.07,1573.37,37.7,2.4,,
2024-03-15,^N25I,NSE 25-Share Index,2281.58,3205.82,2646.32,2646.32,2646.32,2571.17,75.15,2.92,,
2024-03-15,^NASI,NSE All-Share Index,86.41,119.33,100.04,100.04,100.04,97.57,2.47,2.53,,
2024-03-15,^ZKEQTK,Zamara Kenya Equity Index (KES),1497.8,2397.65,1732.27,1732.27,1732.27,1685.25,47.02,2.79,,
2024-03-15,^ZKEQTU,Zamara Kenya Equity Index (USD),818.46,1599.72,1102.76,1102.76,1102.76,1051.45,51.31,4.88,,
