Date,Code,Name,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-02-23,EGAD,Eaagads Ltd,10.35,14.5,13.2,13.2,13.2,13.0,0.2,1.54,2000.0,
2024-02-23,KUKZ,Kakuzi Plc,342.0,440.0,367.5,367.5,367.5,367.5,,,,
2024-02-23,KAPC,Kapchorua Tea Kenya Plc,207.0,280.0,232.0,232.0,232.0,232.0,,,600.0,
2024-02-23,LIMT,Limuru Tea Plc,365.0,380.0,380.0,380.0,380.0,380.0,,,,
2024-02-23,SASN,Sasini Plc,15.1,22.0,20.0,20.0,20.0,20.7,-0.7,3.38,1000.0,
2024-02-23,WTK,Williamson Tea Kenya Plc,193.5,290.0,225.0,225.0,225.0,225.0,,,,
2024-02-23,CGEN,Car and General (K) Ltd,17.95,31.8,26.0,26.0,26.0,26.0,,,,
2024-02-23,ABSA,ABSA Bank Kenya Plc,10.55,16.7,12.2,12.7,12.25,12.2,0.05,0.41,154300.0,
2024-02-23,BKG,BK Group Plc,30.0,37.0,32.0,33.0,32.15,35.45,-3.3,9.31,52200.0,
2024-02-23,COOP,Co-operative Bank of Kenya Ltd,10.1,15.2,12.3,13.0,12.9,12.85,0.05,0.39,328300.0,
2024-02-23,DTK,Diamond Trust Bank Kenya Ltd,43.05,56.0,45.5,47.0,45.5,47.8,-2.3,4.81,41900.0,
2024-02-23,EQTY,Equity Group Holdings Plc,33.6,51.0,40.5,42.0,41.0,40.85,0.15,0.37,11021400.0,
2024-02-23,HFCK,HF Group Ltd,3.02,4.9,3.74,4.2,4.14,3.99,0.15,3.76,26900.0,
2024-02-23,IMH,I & M Holdings Plc,17.0,35.0,18.3,18.9,18.85,17.5,1.35,7.71,2900.0,
2024-02-23,KCB,KCB Group Plc,15.75,40.0,20.4,20.5,20.5,20.15,0.35,1.74,1517900.0,
2024-02-23,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,,,,
2024-02-23,NCBA,NCBA Group Plc,34.05,47.0,37.3,38.5,37.6,37.45,0.15,0.4,20600.0,
2024-02-23,SBIC,Stanbic Holdings Plc,100.0,134.0,110.25,115.0,114.75,115.0,-0.25,0.22,18000.0,
2024-02-23,SCBK,Standard Chartered Bank Kenya Ltd,148.0,236.0,163.5,164.0,164.0,164.0,,,20300.0,
2024-02-23,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,,,,
2024-02-23,EVRD,Eveready East Africa Ltd,0.97,1.65,1.2,1.4,1.38,1.33,0.05,3.76,4800.0,
2024-02-23,XPRS,Express Kenya Plc,2.74,3.99,3.2,3.2,3.2,3.2,,,,
2024-02-23,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,,,,
2024-02-23,KQ,Kenya Airways Plc,3.83,3.83,3.83,3.83,3.83,3.83,,,,
2024-02-23,LKL,Longhorn Publishers Plc,2.02,2.65,2.2,2.2,2.2,2.2,,,37200.0,
2024-02-23,NBV,Nairobi Business Ventures Ltd,1.85,2.9,2.3,2.39,2.32,2.3,0.02,0.87,2400.0,
2024-02-23,NMG,Nation Media Group Plc,14.0,22.4,20.0,20.0,20.0,20.35,-0.35,1.72,2200.0,
2024-02-23,SMER,Sameer Africa Plc,1.87,2.75,2.15,2.15,2.15,2.2,-0.05,2.27,100.0,
2024-02-23,SGL,Standard Group Plc,4.86,9.0,6.84,6.84,6.84,6.84,,,,
