Code,Day Price_num_mean,Day Price_num_median,Day Price_num_std,Day Price_num_min,Day Price_num_max,Change%_num_mean,Change%_num_std,Volume_num_mean,Volume_num_sum,Volume_num_max,12m Low_num_first,12m High_num_first,Name_first
UCHM,0.18914285714285714,0.19,0.010082367546283283,0.17,0.22,5.653831775700934,1.22802928861561,48427.619047619046,10169800.0,2012600.0,0.16,0.23,Uchumi Supermarket Plc
MSC,0.27,0.27,0.0,0.27,0.27,,,,0.0,,0.27,0.27,Mumias Sugar Company Ltd
HAFR,0.33290476190476187,0.33,0.022427778320057982,0.29,0.4,4.854859154929577,2.2314959317680043,55716.666666666664,11700500.0,1474700.0,0.27,0.42,Home Afrika Ltd
DCON,0.45,0.45,0.0,0.45,0.45,,,,0.0,,0.45,0.45,Deacons (East Africa) Plc
TCL,0.4553809523809524,0.45,0.09394642481718364,0.32,0.71,4.668980891719745,2.506039674904736,165222.38095238095,34696700.0,2295700.0,0.29,0.72,Trans-Century Plc
