Code,Day Price_num_mean,Day Price_num_median,Day Price_num_std,Day Price_num_min,Day Price_num_max,Change%_num_mean,Change%_num_std,Volume_num_mean,Volume_num_sum,Volume_num_max,12m Low_num_first,12m High_num_first,Name_first
^ZKEQTK,1955.605238095238,2014.98,232.85556620185616,1535.23,2397.65,0.7277294685990339,0.7545957345320659,,0.0,,1497.8,2397.65,Zamara Kenya Equity Index (KES)
^ZKEQTU,1254.2059047619048,1330.4099999999999,222.24482873169737,818.46,1599.72,0.8804347826086957,0.906712992530234,,0.0,,818.46,1599.72,Zamara Kenya Equity Index (USD)
^N25I,2779.1259999999997,2848.0299999999997,217.7727996055483,2364.29,3205.82,0.6310628019323671,0.6666667053609109,,0.0,,2281.58,3205.82,NSE 25-Share Index
GLD,2938.190476190476,2920.0,129.7275831960088,2625.0,3330.0,3.8923076923076922,3.1108872095865565,200.0,2600.0,700.0,2625.0,3330.0,ABSA NewGold ETF
^N20I,1668.0364761904762,1683.595,99.98609969879752,1487.89,1942.74,0.5541062801932367,0.565116233691554,,0.0,,1416.32,1942.74,NSE 20-Share Index
