Code,Day Price_num_mean,Day Price_num_median,Day Price_num_std,Day Price_num_min,Day Price_num_max,Change%_num_mean,Change%_num_std,Volume_num_mean,Volume_num_sum,Volume_num_max,12m Low_num_first,12m High_num_first,Name_first
LIMT,375.4916666666667,380.0,6.884964867598819,365.0,380.0,1.9749999999999999,2.694076836320746,150.0,900.0,300.0,365.0,380.0,Limuru Tea Plc
GLD,2938.190476190476,2920.0,129.7275831960088,2625.0,3330.0,3.8923076923076922,3.1108872095865565,200.0,2600.0,700.0,2625.0,3330.0,ABSA NewGold ETF
SGL,6.526380952380952,6.49,0.6877543010282238,5.1,7.86,4.783,3.3386804082881105,805.6910569105692,99100.0,8500.0,4.86,9.0,Standard Group Plc
KAPC,236.65,233.0,14.495651880649447,207.0,276.25,2.5505555555555555,2.5725475333773025,931.6239316239316,109000.0,12000.0,207.0,280.0,Kapchorua Tea Kenya Plc
EGAD,12.714047619047617,12.85,0.852932065154912,10.8,14.5,5.17875,3.476559830344971,1092.2222222222222,98300.0,9400.0,10.35,14.5,Eaagads Ltd
