Code,Day Price_num_mean,Day Price_num_median,Day Price_num_std,Day Price_num_min,Day Price_num_max,Change%_num_mean,Change%_num_std,Volume_num_mean,Volume_num_sum,Volume_num_max,12m Low_num_first,12m High_num_first,Name_first
LAPR,20.0,20.0,0.0,20.0,20.0,,,27500000.0,27500000.0,27500000.0,20.0,20.0,Laptrust Imara Income-REIT
SCOM,15.641190476190477,15.3,1.6356029899027207,13.0,19.3,1.4898816568047337,1.416888773134763,7062550.0,1483135500.0,104525300.0,12.15,21.15,Safaricom Plc
KCB,29.596190476190475,30.55,5.810155254240432,19.0,39.05,1.6632474226804124,1.799956611629792,1441516.6666666667,302718500.0,14975400.0,15.75,40.0,KCB Group Plc
EQTY,42.10547619047619,42.55,3.266911247998822,34.2,49.2,1.0528723404255318,1.253587896651817,1388890.4761904762,291667000.0,22728100.0,33.6,51.0,Equity Group Holdings Plc
KEGN,2.3705714285714286,2.3449999999999998,0.38130305061020414,1.96,4.13,1.749934640522876,3.039260535222868,1299071.4285714286,272805000.0,48499100.0,1.94,4.6,Kenya Electricity Generating Company Plc
