Code,Day Price_num_mean,Day Price_num_median,Day Price_num_std,Day Price_num_min,Day Price_num_max,Change%_num_mean,Change%_num_std,Volume_num_mean,Volume_num_sum,Volume_num_max,12m Low_num_first,12m High_num_first,Name_first
ARM,5.55,5.55,0.0,5.55,5.55,,,,0.0,,5.55,5.55,ARM Cement Plc
DCON,0.45,0.45,0.0,0.45,0.45,,,,0.0,,0.45,0.45,Deacons (East Africa) Plc
HBE,4.66,4.66,0.0,4.66,4.66,,,,0.0,,4.66,4.66,Homeboyz Entertainment Plc
KPLC-P7,6.0,6.0,0.0,6.0,6.0,,,,0.0,,6.0,6.0,KPLC-P7
KQ,3.8300000000000005,3.83,0.0,3.83,3.83,,,,0.0,,3.83,3.83,Kenya Airways Plc
